,deaths,cases,tests,percentage,percentage_lagged,fit
2020-08-02,,,,,,
2020-08-03,,,,,,
2020-08-04,,,,,,
2020-08-05,,,,,,
2020-08-06,,,,,,
2020-08-07,,,,,,
2020-08-08,,,,,,
2020-08-09,15.928571428571429,1717.357142857143,42170.357142857145,0.040724273143795994,,
2020-08-10,16.285714285714285,1724.142857142857,42037.78571428572,0.04101412164906062,,
2020-08-11,16.428571428571427,1758.0714285714287,42735.71428571428,0.04113822497075047,,
2020-08-12,17.0,1777.2857142857142,42134.07142857143,0.042181675162788174,,
2020-08-13,16.642857142857142,1815.5714285714287,42393.42857142857,0.04282671842671034,,
2020-08-14,17.214285714285715,1806.9285714285713,43102.42857142857,0.04192173460560724,,
2020-08-15,17.428571428571427,1815.7857142857142,43450.07142857143,0.041790166381446024,,
2020-08-16,17.571428571428573,1827.642857142857,44075.07142857143,0.04146658866122897,,
2020-08-17,17.428571428571427,1864.142857142857,45003.42857142857,0.041422240845141955,,
2020-08-18,17.928571428571427,1885.0714285714287,45275.0,0.041636033761931056,,
2020-08-19,18.642857142857142,1894.4285714285713,45239.07142857143,0.04187593846659098,,
2020-08-20,20.071428571428573,1931.0,45829.357142857145,0.04213456440117142,,
2020-08-21,20.071428571428573,1921.9285714285713,45722.5,0.04203463440163095,,
2020-08-22,19.714285714285715,1913.7142857142858,45639.78571428572,0.04193083415628908,,
2020-08-23,20.142857142857142,1917.4285714285713,45951.92857142857,0.04172683565278622,,
2020-08-24,19.642857142857142,1948.142857142857,46423.642857142855,0.04196445468826691,,
2020-08-25,19.214285714285715,1940.642857142857,47076.0,0.041223614095140984,,
2020-08-26,20.214285714285715,1922.9285714285713,46275.0,0.041554372154048,,
2020-08-27,20.285714285714285,1911.0,45021.57142857143,0.042446319383406685,,
2020-08-28,20.071428571428573,1877.2857142857142,44248.92857142857,0.04242556316940684,,
2020-08-29,20.428571428571427,2103.0,51215.857142857145,0.04106150159967197,,
2020-08-30,20.857142857142858,2135.1428571428573,51585.07142857143,0.04139071242926041,,
2020-08-31,20.785714285714285,2100.1428571428573,51024.0,0.04115990234287507,,
2020-09-01,20.785714285714285,2083.6428571428573,50511.142857142855,0.04125115250383226,,
2020-09-02,19.071428571428573,2063.0714285714284,49832.857142857145,0.04139982226299343,,
2020-09-03,18.642857142857142,2004.5,49666.21428571428,0.04035942801013049,0.040724273143795994,36.8060980315687
2020-09-04,18.857142857142858,2022.0714285714287,49985.642857142855,0.0404530443741703,0.04101412164906062,37.20046047045421
2020-09-05,19.714285714285715,2021.7857142857142,50576.92857142857,0.039974466053833126,0.04113822497075047,37.36931312184436
2020-09-06,20.5,2039.0,51134.78571428572,0.03987500820660243,0.042181675162788174,38.78901187865478
2020-09-07,20.714285714285715,2001.142857142857,51363.142857142855,0.03896067775113895,0.04282671842671034,39.666645642937176
2020-09-08,20.642857142857142,1980.0714285714287,50545.357142857145,0.03917415051544935,0.04192173460560724,38.435341632877446
2020-09-09,19.142857142857142,1978.2142857142858,51693.21428571428,0.03826835519997789,0.041790166381446024,38.25633237522169
2020-09-10,19.785714285714285,1964.857142857143,53090.357142857145,0.03700968026208687,0.04146658866122897,37.816078599210975
2020-09-11,19.785714285714285,2014.5714285714287,54305.0,0.03709734699514646,0.041422240845141955,37.75573979258041
2020-09-12,19.142857142857142,1782.5714285714287,48065.357142857145,0.0370864076443533,0.041636033761931056,38.04662242454162
2020-09-13,19.285714285714285,1762.7857142857142,48947.57142857143,0.03601375232391509,0.04187593846659098,38.37303226523899
2020-09-14,19.928571428571427,1762.7142857142858,49055.78571428572,0.03593285195717412,0.04213456440117142,38.72491386016759
2020-09-15,19.785714285714285,1769.5714285714287,49717.142857142855,0.035592782024021614,0.04203463440163095,38.58895097741742
2020-09-16,21.571428571428573,1779.5,50464.71428571428,0.035262262457785215,0.04193083415628908,38.44772231083325
2020-09-17,21.0,1816.0,50347.71428571428,0.036069164723040344,0.04172683565278622,38.170165773852204
2020-09-18,21.214285714285715,1837.7142857142858,51282.642857142855,0.03583501518893193,0.04196445468826691,38.493465775942035
2020-09-19,20.714285714285715,1864.0714285714287,52220.642857142855,0.03569606436425661,0.041223614095140984,37.48549196264327
2020-09-20,20.857142857142858,1886.9285714285713,52836.57142857143,0.03571254758608756,0.041554372154048,37.93551517277687
2020-09-21,20.857142857142858,1897.0714285714287,53117.42857142857,0.03571466992270495,0.042446319383406685,39.149081840667485
2020-09-22,21.428571428571427,1921.0714285714287,53489.71428571428,0.03591478201416561,0.04242556316940684,39.120841325272956
2020-09-23,21.785714285714285,1913.642857142857,53960.642857142855,0.03546367789222039,0.04106150159967197,37.26492474243764
2020-09-24,21.714285714285715,1937.357142857143,54406.0,0.03560925528171788,0.04139071242926041,37.71284282138543
2020-09-25,21.785714285714285,1945.2142857142858,54964.21428571428,0.03539055931196792,0.04115990234287507,37.39880694770308
2020-09-26,23.714285714285715,1951.357142857143,55733.71428571428,0.035012149609366994,0.04125115250383226,37.52296020490522
2020-09-27,24.142857142857142,1945.142857142857,55544.28571428572,0.03501967541987089,0.04139982226299343,37.725237490267766
2020-09-28,24.357142857142858,1948.7857142857142,55804.642857142855,0.03492156950586549,0.04035942801013049,36.309696586971015
2020-09-29,24.857142857142858,1975.642857142857,55826.357142857145,0.03538906993496416,0.0404530443741703,36.437069255698866
2020-09-30,25.0,1981.7857142857142,56375.21428571428,0.035153493239810304,0.039974466053833126,35.78592457087949
2020-10-01,26.428571428571427,2037.642857142857,57263.0,0.03558393477713108,0.03987500820660243,35.650604089704714
2020-10-02,26.571428571428573,2094.9285714285716,58007.28571428572,0.036114921524636065,0.03896067775113895,34.406583224271294
2020-10-03,27.214285714285715,2116.6428571428573,58136.28571428572,0.036408291846252896,0.03917415051544935,34.69703026277585
2020-10-04,27.714285714285715,2149.785714285714,58210.5,0.03693123601902946,0.03826835519997789,33.464622148701665
2020-10-05,27.357142857142858,2230.0,59155.142857142855,0.03769748313152341,0.03700968026208687,31.75209264016548
2020-10-06,27.357142857142858,2303.785714285714,59614.92857142857,0.03864444308652315,0.03709734699514646,31.87137035259302
2020-10-07,27.714285714285715,2410.1428571428573,60355.57142857143,0.03993240060687971,0.0370864076443533,31.856486477119255
2020-10-08,28.785714285714285,2452.214285714286,59935.78571428572,0.04091402584432625,0.03601375232391509,30.397051770477134
2020-10-09,30.785714285714285,2584.285714285714,60040.857142857145,0.04304211893805646,0.03593285195717412,30.28698024912989
2020-10-10,30.142857142857142,2752.0,61117.142857142855,0.04502828292272451,0.035592782024021614,29.82428747758285
2020-10-11,29.857142857142858,2836.785714285714,61535.357142857145,0.04610009344221382,0.035262262457785215,29.37458875610293
2020-10-12,30.214285714285715,3036.214285714286,63509.642857142855,0.0478071383985559,0.036069164723040344,30.472444841224835
2020-10-13,30.857142857142858,3126.214285714286,64234.357142857145,0.048668881028288154,0.03583501518893193,30.15386537761644
2020-10-14,31.428571428571427,3276.0,64917.5,0.050464050525667194,0.03569606436425661,29.964811492194173
2020-10-15,33.214285714285715,3398.285714285714,65486.857142857145,0.05189263712675171,0.03571254758608756,29.98723825460238
2020-10-16,34.07142857142857,3532.785714285714,66093.0,0.05345173791907939,0.03571466992270495,29.990125865990294
2020-10-17,33.857142857142854,3608.214285714286,66854.21428571429,0.05397138122503229,0.03591478201416561,30.2623946236534
2020-10-18,36.142857142857146,3840.785714285714,68087.14285714286,0.056409852919577855,0.03546367789222039,29.64863081776725
2020-10-19,37.214285714285715,3936.1428571428573,68662.14285714286,0.05732624548774018,0.03560925528171788,29.846700682976326
2020-10-20,37.5,4078.0714285714284,69353.92857142857,0.058800871307115164,0.03539055931196792,29.549147049134795
2020-10-21,38.785714285714285,4160.142857142857,69788.28571428571,0.059610904818246206,0.035012149609366994,29.034289906506444
2020-10-22,38.92857142857143,4392.142857142857,71079.92857142857,0.061791604823141756,0.03501967541987089,29.04452938309852
2020-10-23,39.142857142857146,4559.857142857143,72220.64285714286,0.06313786422362423,0.03492156950586549,28.911048316908655
2020-10-24,39.0,4730.5,72745.78571428571,0.06502782193568406,0.03538906993496416,29.547120630723256
2020-10-25,40.357142857142854,5035.5,73827.71428571429,0.06820609372399834,0.035153493239810304,29.226599398569086
2020-10-26,41.142857142857146,5230.857142857143,73767.85714285714,0.07090970709271363,0.03558393477713108,29.81225007943243
2020-10-27,41.0,5452.928571428572,75156.0,0.07255480030108802,0.036114921524636065,30.534700687106863
2020-10-28,43.0,5653.071428571428,76824.42857142857,0.07358429517396811,0.036408291846252896,30.933854843254103
2020-10-29,42.142857142857146,5881.357142857143,77186.28571428571,0.07619691877165448,0.03693123601902946,31.645362874626734
2020-10-30,45.92857142857143,6238.0,77546.14285714286,0.08044242782638171,0.03769748313152341,32.68790432156714
2020-10-31,47.214285714285715,7250.5,78699.35714285714,0.09212908800307862,0.03864444308652315,33.976320271960496
2020-11-01,48.07142857142857,7698.857142857143,79763.71428571429,0.09652079534912043,0.03993240060687971,35.72869111287628
2020-11-02,49.357142857142854,8123.642857142857,81096.57142857143,0.10017245752859025,0.04091402584432625,37.064271996267614
2020-11-03,49.142857142857146,8541.07142857143,81632.0,0.10462896203169626,0.04304211893805646,39.9597155378952
2020-11-04,51.5,9157.0,84480.64285714286,0.1083916941243514,0.04502828292272451,42.662052996234536
2020-11-05,58.214285714285715,9624.642857142857,86102.92857142857,0.11178066782198383,0.04610009344221382,44.120338282553526
2020-11-06,57.285714285714285,10077.42857142857,87357.28571428571,0.11535876474445667,0.0478071383985559,46.44291162705177
2020-11-07,56.642857142857146,10682.57142857143,88173.64285714286,0.1211537947442992,0.048668881028288154,47.61538248331016
2020-11-08,65.21428571428571,10906.07142857143,89726.07142857143,0.12154852268611209,0.050464050525667194,50.057856425181754
2020-11-09,68.0,11166.857142857143,90181.28571428571,0.12382676798638934,0.05189263712675171,52.001564555221975
2020-11-10,69.21428571428571,11553.285714285714,91788.0,0.12586923905396907,0.05345173791907939,54.12284784550265
2020-11-11,71.14285714285714,11987.92857142857,92628.71428571429,0.12941914031594645,0.05397138122503229,54.82986477939721
2020-11-12,77.21428571428571,12086.785714285714,94893.85714285714,0.1273716347738902,0.056409852919577855,58.147603622784814
2020-11-13,82.0,12420.857142857143,96853.28571428571,0.12824404511684095,0.05732624548774018,59.39443016007233
2020-11-14,87.42857142857143,12061.07142857143,98112.07142857143,0.12293157460600815,0.058800871307115164,61.400778386851485
2020-11-15,91.14285714285714,12022.0,99673.92857142857,0.12061328546295601,0.059610904818246206,62.50289478637194
2020-11-16,93.5,12022.214285714286,99793.92857142857,0.12047039792715705,0.061791604823141756,65.46991430445816
2020-11-17,95.85714285714286,11861.42857142857,101708.35714285714,0.11662196602751423,0.06313786422362423,67.30160958976629
2020-11-18,99.14285714285714,11636.142857142857,101377.5,0.11478032953212357,0.06502782193568406,69.87305059836466
2020-11-19,99.85714285714286,11544.785714285714,102861.0,0.11223676334359683,0.06820609372399834,74.19734757114473
2020-11-20,106.14285714285714,11496.214285714286,103356.64285714286,0.11122859613004349,0.07090970709271363,77.87583320251488
2020-11-21,108.92857142857143,10936.142857142857,101255.92857142857,0.10800496337780575,0.07255480030108802,80.11411616090452
2020-11-22,104.78571428571429,10710.785714285714,98733.42857142857,0.10848185735327737,0.07358429517396811,81.51482757226219
2020-11-23,103.64285714285714,10464.142857142857,97155.5,0.10770510014505465,0.07619691877165448,85.06951422808187
2020-11-24,107.07142857142857,10075.42857142857,95467.5,0.10553778585831378,0.08044242782638171,90.8458742048366
2020-11-25,109.21428571428571,10071.214285714286,97030.07142857143,0.10379477349069251,0.09212908800307862,106.74652480678019
