,deaths,deaths,deaths,count,count,count,tested,tested,tested,percentage,percentage,percentage,deaths_per_million,deaths_per_million,deaths_per_million,count_per_million,count_per_million,count_per_million,deaths_7day,deaths_7day,deaths_7day,count_7day,count_7day,count_7day,tested_7day,tested_7day,tested_7day,percentage_7day,percentage_7day,percentage_7day,deaths_per_million_7day,deaths_per_million_7day,deaths_per_million_7day,count_per_million_7day,count_per_million_7day,count_per_million_7day,deaths_14day,deaths_14day,deaths_14day,count_14day,count_14day,count_14day,tested_14day,tested_14day,tested_14day,percentage_14day,percentage_14day,percentage_14day,deaths_per_million_14day,deaths_per_million_14day,deaths_per_million_14day,count_per_million_14day,count_per_million_14day,count_per_million_14day,population,population,population
region,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South,Illinois,North,South
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,1.0,0.0,0.0,128.0,105.0,7.0,0.0,0.0,0.0,inf,inf,inf,0.07936507936507936,0.0,0.0,10.158730158730158,11.574793671035104,1.9766110438906481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-19,2.0,1.0,1.0,134.0,139.0,5.0,0.0,0.0,0.0,inf,inf,inf,0.15873015873015872,0.11023613020033432,0.2823730062700926,10.634920634920634,15.32282209784647,1.411865031350463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-20,2.0,2.0,1.0,163.0,158.0,7.0,4286.0,0.0,0.0,0.03803079794680354,inf,inf,0.15873015873015872,0.22047226040066864,0.2823730062700926,12.936507936507937,17.417308571652825,1.9766110438906481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-21,1.0,1.0,-1.0,168.0,164.0,3.0,1961.0,0.0,0.0,0.08567057623661398,inf,inf,0.07936507936507936,0.11023613020033432,-0.2823730062700926,13.333333333333334,18.07872535285483,0.8471190188102778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-22,3.0,2.0,1.0,296.0,295.0,5.0,2127.0,0.0,0.0,0.13916314057357781,inf,inf,0.23809523809523808,0.22047226040066864,0.2823730062700926,23.49206349206349,32.519658409098625,1.411865031350463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-24,7.0,7.0,0.0,486.0,477.0,10.0,3111.0,0.0,0.0,0.1562198649951784,inf,inf,0.5555555555555556,0.7716529114023403,0.0,38.57142857142857,52.58263410555947,2.823730062700926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-25,3.0,3.0,0.0,330.0,315.0,13.0,2724.0,0.0,0.0,0.1211453744493392,inf,inf,0.23809523809523808,0.330708390601003,0.0,26.19047619047619,34.724381013105315,3.670849081511204,2.7142857142857144,2.2857142857142856,0.2857142857142857,243.57142857142858,236.14285714285714,7.142857142857143,2029.857142857143,0.0,0.0,0.1199943697656415,inf,inf,0.21541950113378686,0.2519682976007641,0.08067800179145503,19.33106575963719,26.03147474587895,2.016950044786376,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
2020-03-26,7.0,7.0,0.0,673.0,650.0,25.0,2422.0,0.0,0.0,0.277869529314616,inf,inf,0.5555555555555556,0.7716529114023403,0.0,53.41269841269841,71.6534846302173,7.059325156752315,3.5714285714285716,3.2857142857142856,0.2857142857142857,321.42857142857144,314.0,9.714285714285714,2375.8571428571427,0.0,0.0,0.13528951957188384,inf,inf,0.28344671201814065,0.36220442780109846,0.08067800179145503,25.510204081632654,34.61414488290498,2.7430520609094704,,,,,,,,,,,,,,,,,,,12600000.0,9071436.0,3541415.0
